Channel 1
50.790000,126.960000,0.000000,-0.070000,1476.000000,0.000004
50.040000,125.100000,0.130000,-0.130000,1475.000000,0.004184
49.710000,124.270000,0.250000,-0.120000,1474.000000,0.004192
49.630000,124.080000,0.370000,-0.270000,1474.000000,0.004160
49.450000,123.630000,0.500000,-0.080000,1474.000000,0.004176
49.420000,123.540000,0.620000,-0.190000,1473.000000,0.004148
49.360000,123.410000,0.750000,-0.110000,1474.000000,0.004196
49.340000,123.350000,0.870000,-0.210000,1474.000000,0.004188
49.360000,123.410000,0.990000,-0.080000,1474.000000,0.004192
49.290000,123.230000,1.120000,0.030000,1474.000000,0.004180
49.260000,123.150000,1.240000,-0.140000,1474.000000,0.004164
49.210000,123.020000,1.360000,-0.080000,1474.000000,0.004196
49.200000,122.990000,1.490000,-0.100000,1474.000000,0.004184
49.190000,122.970000,1.610000,-0.180000,1474.000000,0.004180
49.200000,123.000000,1.730000,-0.140000,1474.000000,0.004184
49.190000,122.970000,1.860000,-0.110000,1474.000000,0.004196
49.180000,122.940000,1.980000,-0.050000,1474.000000,0.004212
49.160000,122.890000,2.110000,-0.100000,1474.000000,0.004196
49.150000,122.880000,2.230000,-0.150000,1474.000000,0.004200
49.120000,122.800000,2.350000,-0.140000,1475.000000,0.004200
49.130000,122.820000,2.480000,-0.050000,1475.000000,0.004216
49.070000,122.690000,2.600000,0.100000,1475.000000,0.004192
49.060000,122.650000,2.730000,-0.060000,1475.000000,0.004184
49.070000,122.660000,2.850000,-0.080000,1475.000000,0.004172
49.040000,122.600000,2.970000,-0.180000,1475.000000,0.004188
49.050000,122.620000,3.090000,0.020000,1475.000000,0.004168
49.020000,122.560000,3.220000,-0.100000,1475.000000,0.004180
49.000000,122.510000,3.340000,-0.080000,1475.000000,0.004176
49.010000,122.510000,3.460000,-0.120000,1475.000000,0.004180
48.990000,122.490000,3.590000,-0.290000,1475.000000,0.004208
48.990000,122.470000,3.710000,-0.080000,1476.000000,0.004200
49.010000,122.520000,3.830000,0.080000,1476.000000,0.004204
49.010000,122.530000,3.960000,-0.160000,1476.000000,0.004144
49.030000,122.580000,4.080000,-0.160000,1476.000000,0.004180
49.030000,122.570000,4.200000,0.000000,1476.000000,0.004224
49.010000,122.530000,4.320000,-0.120000,1476.000000,0.004100
49.010000,122.520000,4.450000,-0.060000,1476.000000,0.004188
49.020000,122.550000,4.570000,-0.100000,1477.000000,0.004176
48.990000,122.480000,4.690000,0.070000,1477.000000,0.004164
48.960000,122.390000,4.810000,0.040000,1477.000000,0.004196
48.960000,122.410000,4.940000,-0.190000,1477.000000,0.004180
48.960000,122.410000,5.060000,-0.130000,1477.000000,0.004176
48.970000,122.430000,5.180000,-0.210000,1477.000000,0.004200
48.980000,122.460000,5.310000,-0.140000,1477.000000,0.004212
48.970000,122.430000,5.430000,-0.070000,1477.000000,0.004200
48.960000,122.410000,5.550000,-0.030000,1477.000000,0.004192
48.960000,122.390000,5.680000,-0.180000,1477.000000,0.004192
48.950000,122.380000,5.800000,-0.030000,1478.000000,0.004208
48.960000,122.400000,5.920000,0.120000,1478.000000,0.004204
48.970000,122.420000,6.050000,-0.230000,1478.000000,0.004192
48.980000,122.450000,6.170000,-0.070000,1478.000000,0.004176
48.990000,122.460000,6.290000,0.040000,1478.000000,0.004192
48.980000,122.460000,6.420000,-0.120000,1478.000000,0.004196
48.990000,122.470000,6.540000,-0.070000,1478.000000,0.004228
48.990000,122.480000,6.660000,-0.080000,1479.000000,0.004180
49.000000,122.490000,6.790000,-0.220000,1479.000000,0.004196
49.010000,122.520000,6.910000,-0.190000,1479.000000,0.004184
49.000000,122.510000,7.030000,-0.090000,1479.000000,0.004192
49.010000,122.510000,7.160000,0.060000,1479.000000,0.004200
48.990000,122.480000,7.280000,-0.190000,1479.000000,0.004188
48.990000,122.470000,7.400000,-0.060000,1479.000000,0.004156
48.970000,122.430000,7.530000,-0.130000,1479.000000,0.004188
48.960000,122.400000,7.650000,-0.130000,1479.000000,0.004224
48.950000,122.370000,7.770000,-0.120000,1480.000000,0.004212
48.950000,122.370000,7.900000,-0.060000,1480.000000,0.004180
48.950000,122.360000,8.020000,-0.040000,1480.000000,0.004188
48.970000,122.420000,8.140000,0.210000,1480.000000,0.004184
48.960000,122.390000,8.270000,-0.150000,1480.000000,0.004208
48.980000,122.440000,8.390000,0.180000,1481.000000,0.004188
48.970000,122.430000,8.510000,0.350000,1481.000000,0.004188
48.940000,122.350000,8.630000,-0.430000,1480.000000,0.004192
48.940000,122.340000,8.760000,0.590000,1481.000000,0.004184
48.970000,122.430000,8.880000,0.150000,1481.000000,0.004228
48.980000,122.460000,9.000000,0.010000,1481.000000,0.004168
48.950000,122.360000,9.130000,-0.460000,1481.000000,0.004152
48.970000,122.430000,9.250000,-0.620000,1481.000000,0.004156
49.000000,122.490000,9.370000,0.450000,1482.000000,0.004196
48.990000,122.490000,9.490000,-0.470000,1481.000000,0.004200
49.040000,122.610000,9.620000,-0.330000,1481.000000,0.004176
49.040000,122.610000,9.740000,-0.140000,1482.000000,0.004192
49.060000,122.660000,9.860000,-0.180000,1482.000000,0.004188
49.070000,122.680000,9.990000,-0.030000,1482.000000,0.004212
49.090000,122.720000,10.110000,0.240000,1483.000000,0.004188
49.060000,122.660000,10.240000,0.020000,1482.000000,0.004236
49.050000,122.630000,10.360000,-0.740000,1482.000000,0.004244
49.050000,122.640000,10.490000,-0.310000,1482.000000,0.004240
49.040000,122.590000,10.610000,0.350000,1483.000000,0.004284
