0.14,-6.604
0.281,-5.66
0.367,-4.717
0.432,-3.962
0.497,-3.208
0.561,-2.547
0.648,-1.792
0.734,-1.132
0.842,0.094
0.929,0.943
0.993,1.792
1.123,2.642
1.274,3.302
1.404,4.057
1.533,4.811
1.62,5.566
1.792,5.849
1.944,5.849
2.073,5.566
2.138,4.906
2.246,4.245
2.311,3.396
2.375,2.83
2.44,2.075
2.527,1.415
2.635,0.66
2.743,0.189
2.894,-0.094
3.066,0.566
3.196,1.132
3.304,1.981
3.455,2.736
3.628,3.491
3.822,4.245
4.017,5.189
4.189,5.566
4.405,6.132
4.578,6.981
4.772,8.019
4.988,8.962
5.183,8.868
5.442,9.151
5.615,9.906
5.701,10.566
5.831,10.566
5.982,10.283
6.09,9.528
6.154,8.962
6.219,8.113
6.284,7.642
6.327,6.981
6.37,6.038
6.435,5.094
6.5,4.434
6.565,3.208
6.608,2.358
6.651,1.604
6.694,0.66
6.738,-0.377
6.802,-1.415
6.846,-2.075
6.889,-2.925
6.953,-3.679
7.018,-4.245
7.105,-5.094
7.191,-5.472
7.299,-5.943
7.364,-6.604
7.429,-7.358
7.493,-8.113
7.537,-8.868
7.58,-9.528
7.645,-10.283
7.709,-11.038
7.796,-11.981
7.882,-12.547
7.99,-13.396
8.098,-14.151
8.228,-14.717
8.357,-14.34
8.422,-13.396
8.487,-12.264
8.53,-11.792
8.595,-11.132
8.638,-10.472
8.681,-9.717
8.724,-9.151
8.789,-8.302
8.854,-7.453
8.919,-6.792
9.027,-5.849
9.135,-5.094
9.264,-4.434
9.372,-4.151
9.523,-4.151
9.653,-4.34
9.804,-4.623
9.955,-4.717
10.042,-3.774
10.085,-2.358
10.193,1.698
10.214,3.679
10.236,2.264
10.279,4.151
10.344,4.811
10.43,4.057
10.473,3.396
10.517,2.547
10.56,1.698
10.646,0.283
10.733,-0.849
10.797,-2.925
10.841,-4.057
10.884,-5.094
10.97,-6.509
11.035,-7.547
11.1,-8.491
11.164,-9.34
11.208,-9.906
11.294,-10.377
11.402,-10.283
11.51,-9.717
11.575,-8.774
11.661,-7.642
11.704,-6.698
11.769,-5.283
11.855,-4.057
11.92,-3.113
12.007,-2.17
12.115,-1.415
12.223,-0.849
12.331,-1.321
12.395,-2.17
12.46,-3.585
12.547,-4.151
12.676,-3.774
12.741,-2.925
12.827,-1.604
12.892,-0.377
12.989,0.377
